"","c...Intercept......1.01197510834672..logWeightRatio...3.21326520276645..","c...Intercept......0.877387325854068..logWeightRatio...3.03945981023244..","c...Intercept......0.927465096276762..logWeightRatio...2.25004076265909..","c...Intercept......1.09152309672892..logWeightRatio...2.65842225603836.."
"(Intercept)",-1.01197510834672,-0.877387325854068,-0.927465096276762,-1.09152309672892
"logWeightRatio",3.21326520276645,3.03945981023244,2.25004076265909,2.65842225603836
"RecPron",1.83499711134132,2.32658023893424,2.12525868678128,2.09696947554556
"ThemeBinComplexity",0.924159047426437,0.430195541743387,0.958134191084404,0.878596804840803
"ThemeHeadFreq",0.66987015151349,0.845361794551581,0.48613734586498,0.591279743127747
"ThemePron",0.781103152336003,1.7699753337013,1.8214120406061,1.39442776937194
"ThemeDefiniteness",0.974507773304855,0.831051543847567,0.145132253036221,0.598879822701524
"RecGivenness",0.107967136481164,0.499245899063504,0.38278249818203,0.397407342187586
"RecHeadFreq",-0.310624002603083,-0.131072051302962,-0.300840301225717,0.0620824217225829
