"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.275136741154504,0.34198692626429,0.413376697871203,0.298160651175781,0.26281405147234,0.170115031234816,0.509111470822887,0.240274877277374
"CanE",0.275136741154504,0,0.249812651393714,0.36487039215959,0.284946189481445,0.177717047127464,0.320149235986415,0.366881988772412,0.217844069654811
"HKE",0.34198692626429,0.249812651393714,0,0.262317233777692,0.112097408470932,0.214222272917163,0.366303567676449,0.268259186318159,0.15892574896735
"IndE",0.413376697871203,0.36487039215959,0.262317233777692,0,0.239708904799056,0.315712924285763,0.353563681172655,0.289054179972219,0.248607512222272
"IrE",0.298160651175781,0.284946189481445,0.112097408470932,0.239708904799056,0,0.202155025480625,0.297684520712787,0.318088499576548,0.146034262581658
"JamE",0.26281405147234,0.177717047127464,0.214222272917163,0.315712924285763,0.202155025480625,0,0.252538896351747,0.32241508560763,0.20943653001786
"NZE",0.170115031234816,0.320149235986415,0.366303567676449,0.353563681172655,0.297684520712787,0.252538896351747,0,0.485706105661767,0.257807512194148
"PhlE",0.509111470822887,0.366881988772412,0.268259186318159,0.289054179972219,0.318088499576548,0.32241508560763,0.485706105661767,0,0.327256394318404
"SgE",0.240274877277374,0.217844069654811,0.15892574896735,0.248607512222272,0.146034262581658,0.20943653001786,0.257807512194148,0.327256394318404,0
